senal_regulatoria,tema_estrategico,linea_pmge,tipo_insumo_agenda,relevancia_label,num_documentos,num_fuentes,fuentes,tecnologias,bandas_frecuencia,evidencia,relevancia_score_promedio,actividad_score_promedio,prioridad_score
Regulación y práctica de la compartición de espectro entre redes móviles,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,Cullen International,"Redes móviles, 5G, LTE, Redes de Acceso Radio (RAN), D2D","3.5 GHz, 26 GHz, 700 MHz, 1800 MHz, 2.1 GHz, 2.3 GHz, 2.6 GHz, 900 MHz","Conectividad satelital, NTN y D2D; tecnologías: Redes móviles, 5G, LTE, Redes de Acceso Radio (RAN); bandas: 3.5 GHz, 26 GHz, 700 MHz, 1800 MHz.",10.0,3.0,13.0
Restablecimiento de las facultades de subasta de espectro de la FCC en EE. UU.,Otros temas de seguimiento,Necesidades transversales,Seguimiento,Alta,1,1,Cullen International,"Telecomunicaciones inalámbricas, Banda ancha móvil","1.3-10.5 GHz, 3.1-3.45 GHz, 7.4-8.4 GHz, AWS-3","Otros temas de seguimiento; tecnologías: Telecomunicaciones inalámbricas, Banda ancha móvil; bandas: 1.3-10.5 GHz, 3.1-3.45 GHz, 7.4-8.4 GHz, AWS-3.",10.0,3.0,13.0
Regulación y gestión del espectro radioeléctrico en Europa con miras a la Digital Networks Act,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,Cullen International,"Wi-Fi, 5G, 6G, Mobile Satellite Services (MSS), D2D, Digital Terrestrial Television (DTT), Programme Making and Special Events (PMSE), Sistemas de banda ancha inalámbrica terrestre","upper 6 GHz, 470–694 MHz, 3.8–4.2 GHz, 2 GHz MSS (1980–2010 / 2170–2200 MHz), 450 MHz, 700 MHz, 900 MHz, 1800 MHz, 2.1 GHz, 2.3 GHz, 2.6 GHz, 26 GHz, 42 GHz, 5945–6425 MHz, 3.4–4.2 GHz, 4.2–4.4 GHz","Conectividad satelital, NTN y D2D; tecnologías: Wi-Fi, 5G, 6G, Mobile Satellite Services (MSS); bandas: upper 6 GHz, 470–694 MHz, 3.8–4.2 GHz, 2 GHz MSS (1980–2010 / 2170–2200 MHz).",10.0,3.0,13.0
Regulación y gestión del espectro radioeléctrico en Europa,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,Cullen International,"5G, 6G, Wi-Fi, LTE, IMT, NTN, Fixed Wireless Access (FWA), Integrated Sensing and Communications (ISC)","6 GHz, 3.8-4.2 GHz, 1800 MHz, 26 GHz, 40.5-43.5 GHz, 700 MHz, 800 MHz, 900 MHz, 1500 MHz, 2.1 GHz, 2.6 GHz, 3.5 GHz, 42 GHz, 2.3 GHz, 400 MHz, 380 MHz, 600 MHz, Sub-THz","Conectividad satelital, NTN y D2D; tecnologías: 5G, 6G, Wi-Fi, LTE; bandas: 6 GHz, 3.8-4.2 GHz, 1800 MHz, 26 GHz.",10.0,3.0,13.0
Regulación y despliegue sin permiso de small cells para 5G en la Unión Europea,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"Small cells (SAWAPs), 5G, 4G, Wi-Fi, Active Antenna Systems (AAS), Macro cells",26 GHz,"Disponibilidad de espectro para IMT; tecnologías: Small cells (SAWAPs), 5G, 4G, Wi-Fi; bandas: 26 GHz.",10.0,3.0,13.0
Regulación y gestión del espectro para servicios satelitales en las Américas,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,Cullen International,"Satélites, LEO, Geostacionarios, No geostacionarios (NGSO), NTN, 5G, Starlink, Kuiper, Oneweb","L-band (1-2 GHz), S-band (2-4 GHz), C-band (4-8 GHz), X-band (8-12 GHz), banda Ku, K-band (18-27 GHz), banda Ka, V-band (40-75 GHz), 3.5 GHz, 71-76 GHz, 81-86 GHz, 17.3-17.7 GHz, 6 GHz, 18.8-19.3 GHz, 19.7-20.2 GHz, 27.5-29.1 GHz, 29.5-30 GHz, 18.8-20.2 GHz, 27.5-30 GHz","Conectividad satelital, NTN y D2D; tecnologías: Satélites, LEO, Geostacionarios, No geostacionarios (NGSO); bandas: L-band (1-2 GHz), S-band (2-4 GHz), C-band (4-8 GHz), X-band (8-12 GHz).",10.0,3.0,13.0
Regulación y despliegue de la banda de 700 MHz (primer dividendo digital) en América,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"Banda ancha móvil, Televisión Digital Terrestre (DTT), Televisión Analógica Terrestre, Redes de área local inalámbricas (WLAN), Redes de área metropolitana inalámbricas (WMAN), 5G","700 MHz, 698–806 MHz, UHF, 3.5 GHz, 12.2–12.7 GHz, Canal 69, Canales 52–69, Canales 14 y 15, Canal 51","Disponibilidad de espectro para IMT; tecnologías: Banda ancha móvil, Televisión Digital Terrestre (DTT), Televisión Analógica Terrestre, Redes de área local inalámbricas (WLAN); bandas: 700 MHz, 698–806 MHz, UHF, 3.5 GHz.",10.0,3.0,13.0
Regulación y asignación de recursos para servicios IoT en América,Otros temas de seguimiento,Necesidades transversales,Seguimiento,Alta,1,1,Cullen International,"IoT, M2M, Dispositivos inalámbricos, Servicios móviles, Dispositivos de corto alcance (SRD)","900 MHz, 2.4 GHz, 5.2–5.9 GHz, 433.05–434.79 MHz, 868.175–868.375 MHz, 915–928 MHz, 2400–2483.5 MHz, 5250–5350 MHz, 5470–5725 MHz, 5725–5850 MHz, 928–935 MHz, ISM","Otros temas de seguimiento; tecnologías: IoT, M2M, Dispositivos inalámbricos, Servicios móviles; bandas: 900 MHz, 2.4 GHz, 5.2–5.9 GHz, 433.05–434.79 MHz.",10.0,3.0,13.0
Regulación y asignación de la banda superior de 6 GHz en Europa,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,Cullen International,"Wi-Fi, 5G, 6G, Tecnologías móviles, Enlaces fijos, Servicio fijo por satélite, Cámaras inalámbricas, Sistemas de transporte inteligentes, Dispositivos de corto alcance (SRD), Sistemas de coordinación de frecuencia automatizada (AFC)","6 GHz, 5945–6425 MHz, 6585–7125 MHz, 6425–6585 MHz, 2.3 GHz, 2.6 GHz, 700 MHz, 800 MHz, 900 MHz, 1500 MHz, 1800 MHz, 2.1 GHz, 3.5 GHz","Conectividad satelital, NTN y D2D; tecnologías: Wi-Fi, 5G, 6G, Tecnologías móviles; bandas: 6 GHz, 5945–6425 MHz, 6585–7125 MHz, 6425–6585 MHz.",10.0,3.0,13.0
Regulación y despliegue de servicios satelitales Direct-to-Device (D2D) en bandas IMT terrestres.,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,Cullen International,"D2D, LEO, LTE, 5G, International Mobile Telecommunications (IMT), Mobile Satellite Services (MSS), Smartphones, Supplemental Coverage from Space (SCS), Text-to-911","600 MHz, 700 MHz, 850 MHz, AWS, 1800 MHz, 1900 MHz, 2.6 GHz","Conectividad satelital, NTN y D2D; tecnologías: D2D, LEO, LTE, 5G; bandas: 600 MHz, 700 MHz, 850 MHz, AWS.",10.0,3.0,13.0
Regulación y asignación de la banda de 700 MHz para 5G en Europa,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"5G, Banda ancha inalámbrica, M2M, PPDR, Redes móviles, 4G","700 MHz, 3.4–3.8 GHz, 26 GHz, 703–733 MHz, 758–788 MHz, 694–703 MHz, 733–758 MHz, 698–703 MHz, 753–758 MHz, 733–736 MHz, 788–791 MHz, 738–758 MHz, 614–698 MHz, 736–753 MHz, 694–698 MHz, 736–738 MHz, 743–758 MHz","Disponibilidad de espectro para IMT; tecnologías: 5G, Banda ancha inalámbrica, M2M, PPDR; bandas: 700 MHz, 3.4–3.8 GHz, 26 GHz, 703–733 MHz.",10.0,3.0,13.0
"Regulación y armonización del espectro en Europa para 5G, 6G y nuevas tecnologías","Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,Cullen International,"5G, 6G, Wi-Fi, NTN, IoT, SRD, PMSE, Redes privadas","6 GHz, 3.8–4.2 GHz, 700 MHz, 800 MHz, 900 MHz, 1800 MHz, 2.1 GHz, 2.3 GHz, 2.6 GHz, 3.5 GHz, 26 GHz, 40 GHz, 169 MHz, 862–870 MHz, 874–876 MHz, 915–921 MHz, 116–260 GHz, 4400–4800 MHz, 7125–8400 MHz, 14.8–15.35 GHz","Conectividad satelital, NTN y D2D; tecnologías: 5G, 6G, Wi-Fi, NTN; bandas: 6 GHz, 3.8–4.2 GHz, 700 MHz, 800 MHz.",10.0,3.0,13.0
Regulación y acuerdos de compartición de infraestructura y red móvil en América,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"Redes móviles, 3G, 4G, LTE, MOCN","2.3 GHz, 3.5 GHz, Espectro 4G","Disponibilidad de espectro para IMT; tecnologías: Redes móviles, 3G, 4G, LTE; bandas: 2.3 GHz, 3.5 GHz, Espectro 4G.",10.0,3.0,13.0
Regulación del espectro en la banda de 37 GHz para 5G e IoT en EE. UU.,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"5G, IoT, Fixed Wireless Broadband, Redes inalámbricas avanzadas","37 GHz, 6 GHz, 37–37.2 GHz","Disponibilidad de espectro para IMT; tecnologías: 5G, IoT, Fixed Wireless Broadband, Redes inalámbricas avanzadas; bandas: 37 GHz, 6 GHz, 37–37.2 GHz.",10.0,3.0,13.0
Regulación de tarifas del espectro radioeléctrico en las Américas,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"Servicios móviles, Redes IMT, 5G, Inalámbricas","700 MHz, AWS, 6 GHz, 2.5 GHz, 600 MHz, 3.5 GHz, 1.8 GHz, 2.1 GHz, 1900 MHz, 2.6 GHz, 10 GHz","Disponibilidad de espectro para IMT; tecnologías: Servicios móviles, Redes IMT, 5G, Inalámbricas; bandas: 700 MHz, AWS, 6 GHz, 2.5 GHz.",10.0,3.0,13.0
Regulación de servicios satelitales directos a dispositivos (D2D) en bandas IMT terrestres,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,Cullen International,"D2D, Direct-to-cell (D2C), Direct-to-handset (D2H), LTE (4G), 5G, LEO, NTN, Smartphones","Bandas IMT terrestres, Bandas de espectro MSS, 800 MHz, 900 MHz, 1800 MHz, 2.1 GHz, 2.6 GHz","Conectividad satelital, NTN y D2D; tecnologías: D2D, Direct-to-cell (D2C), Direct-to-handset (D2H), LTE (4G); bandas: Bandas IMT terrestres, Bandas de espectro MSS, 800 MHz, 900 MHz.",10.0,3.0,13.0
Regulación de servicios satelitales directos a dispositivos (D2D) en Canadá,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,Cullen International,"D2D, Satellite mobile coverage service (SMCS), IMT (International Mobile Telecommunications), NTN, Mobile Satellite Service (MSS), 3GPP Release 17, Redes móviles terrestres","600 MHz, 700 MHz, 850 MHz (824–849/869–894 MHz), AWS (1710–1755/2110–2155 MHz y 1755–1780/2155–2180 MHz), PCS (1850–1915/1930–1995 MHz), 694/698 MHz y 2.7 GHz","Conectividad satelital, NTN y D2D; tecnologías: D2D, Satellite mobile coverage service (SMCS), IMT (International Mobile Telecommunications), NTN; bandas: 600 MHz, 700 MHz, 850 MHz (824–849/869–894 MHz), AWS (1710–1755/2110–2155 MHz y 1755–1780/2155–2180 MHz).",10.0,3.0,13.0
Regulación de servicios directos a dispositivo (D2D) en el Reino Unido,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,Cullen International,"D2D, Servicios móviles satelitales (MSS), Smartphones, Dispositivos con SIM, Redes terrestres, Transmisiones satelitales, Radars (control de tráfico aéreo)","Bandas móviles por debajo de 3 GHz, 700 MHz, 800 MHz, 900 MHz, 1500 MHz, 1800 MHz, 2.1 GHz, 2.6 GHz, 2.7–3.1 GHz","Conectividad satelital, NTN y D2D; tecnologías: D2D, Servicios móviles satelitales (MSS), Smartphones, Dispositivos con SIM; bandas: Bandas móviles por debajo de 3 GHz, 700 MHz, 800 MHz, 900 MHz.",10.0,3.0,13.0
Transparencia y publicación de mapas de cobertura y sitios móviles,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"Redes móviles, 2G, 3G, 4G, 5G, LTE, Radiodifusión, Enlaces de microondas, DVB-T",Bandas de frecuencia (mención general),"Disponibilidad de espectro para IMT; tecnologías: Redes móviles, 2G, 3G, 4G; bandas: Bandas de frecuencia (mención general).",10.0,3.0,13.0
Resultados de adjudicación de espectro en América,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"IMT services, 5G, Redes móviles","700 MHz, 2.6 GHz, 3.5 GHz, 600 MHz, 28 GHz, 2.3 GHz, 900 MHz, Millimetre wave spectrum, AWS-3","Disponibilidad de espectro para IMT; tecnologías: IMT services, 5G, Redes móviles; bandas: 700 MHz, 2.6 GHz, 3.5 GHz, 600 MHz.",10.0,3.0,13.0
Reorganización de la banda de 1800 MHz en Polonia,Otros temas de seguimiento,Necesidades transversales,Seguimiento,Alta,1,1,Cullen International,Telecomunicaciones móviles,1800 MHz,Otros temas de seguimiento; tecnologías: Telecomunicaciones móviles; bandas: 1800 MHz.,10.0,3.0,13.0
Regulación y prácticas de trading de espectro radioeléctrico en América,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"Conectividad móvil, Servicios inalámbricos, Acceso inalámbrico fijo (FWA)","3.5 GHz, 700 MHz, 1900 MHz, AWS band, 2.5 GHz, Todas las bandas de espectro","Disponibilidad de espectro para IMT; tecnologías: Conectividad móvil, Servicios inalámbricos, Acceso inalámbrico fijo (FWA); bandas: 3.5 GHz, 700 MHz, 1900 MHz, AWS band.",10.0,3.0,13.0
Regulación y uso de la banda de 2.3 GHz en Europa,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"LTE, 5G, Banda ancha móvil, Redes privadas, Cámaras inalámbricas, Enlaces de video, Comunicaciones de drones, Radioaficionados, PMSE, SAP/SAB, ISM, RFID, AVI, PPDR, Telemetría, MMDS","2.3 GHz, 2.6 GHz","Disponibilidad de espectro para IMT; tecnologías: LTE, 5G, Banda ancha móvil, Redes privadas; bandas: 2.3 GHz, 2.6 GHz.",10.0,3.0,13.0
Regulación y uso de la banda 1427-1517 MHz para Supplemental Downlink (SDL) en Europa,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"LTE, 5G, Carrier aggregation, Frequency-division duplex (FDD), Time-division duplex (TDD), Supplemental Downlink (SDL), Terrestrial digital audio broadcasting (T-DAB), IMT, Spectrum sharing","1427–1517 MHz, 1452–1492 MHz, 1427–1452 MHz, 1492–1517 MHz, 1492–1518 MHz, VHF, 6 GHz","Disponibilidad de espectro para IMT; tecnologías: LTE, 5G, Carrier aggregation, Frequency-division duplex (FDD); bandas: 1427–1517 MHz, 1452–1492 MHz, 1427–1452 MHz, 1492–1517 MHz.",10.0,3.0,13.0
Renovación de concesiones de espectro en 1900 MHz en México,Otros temas de seguimiento,Necesidades transversales,Seguimiento,Alta,1,1,Cullen International,"4G LTE, Redes móviles","1900 MHz, 1905–1910 MHz, 1985–1990 MHz, 1890–1895 MHz, 1970–1975 MHz","Otros temas de seguimiento; tecnologías: 4G LTE, Redes móviles; bandas: 1900 MHz, 1905–1910 MHz, 1985–1990 MHz, 1890–1895 MHz.",10.0,3.0,13.0
Regulación y uso de la banda superior de 6 GHz en la UE,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"Wi-Fi, 5G, 6G, IMT, WAS, RLANs, IoT","6 GHz, upper 6 GHz, 3.5 GHz, 4400–4800 MHz, 7125–8400 MHz, 7125–7250 MHz, 14.8–15.35 GHz","Disponibilidad de espectro para IMT; tecnologías: Wi-Fi, 5G, 6G, IMT; bandas: 6 GHz, upper 6 GHz, 3.5 GHz, 4400–4800 MHz.",10.0,3.0,13.0
Resultados de la subasta de espectro mmWave en el Reino Unido,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"mmWave, 5G, Comunicaciones inalámbricas","26 GHz, 40 GHz, 40.5–43.5 GHz, 26.7–27.5 GHz, 41.5–42.5 GHz, 25.1–25.9 GHz, 40.5–41.5 GHz, 25.9–26.7 GHz, 42.5–43.5 GHz","Disponibilidad de espectro para IMT; tecnologías: mmWave, 5G, Comunicaciones inalámbricas; bandas: 26 GHz, 40 GHz, 40.5–43.5 GHz, 26.7–27.5 GHz.",10.0,3.0,13.0
Subasta de espectro 5G en 3.5 GHz en Paraguay,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,Cullen International,"5G, Fixed Wireless Access (FWA), Telefonía móvil, 3GPP Release 15, Servicio Fijo por Satélite (FSS)","3.5 GHz, 6 GHz, 3.7–4.2 GHz, 4.2–4.4 GHz","Conectividad satelital, NTN y D2D; tecnologías: 5G, Fixed Wireless Access (FWA), Telefonía móvil, 3GPP Release 15; bandas: 3.5 GHz, 6 GHz, 3.7–4.2 GHz, 4.2–4.4 GHz.",10.0,3.0,13.0
Servicios satelitales directos a dispositivos (D2D),"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,Cullen International,"LTE, 5G, LEO, Beamforming, Phased array antenna, Smartphones, Smartwatches, Chipsets, NTN","Bandas terrestres (IMT), Bandas satelitales (MSS), 6 GHz, Banda MSS de 2 GHz","Conectividad satelital, NTN y D2D; tecnologías: LTE, 5G, LEO, Beamforming; bandas: Bandas terrestres (IMT), Bandas satelitales (MSS), 6 GHz, Banda MSS de 2 GHz.",10.0,3.0,13.0
Reorganización y asignación de la banda 3.4-3.8 GHz para 5G en Europa.,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,Cullen International,"5G, Redes privadas, FWA, Radars, Amateur radio, Satélites","3.4-3.8 GHz, 3.5 GHz, 700 MHz, 26 GHz, 3.7-3.8 GHz","Conectividad satelital, NTN y D2D; tecnologías: 5G, Redes privadas, FWA, Radars; bandas: 3.4-3.8 GHz, 3.5 GHz, 700 MHz, 26 GHz.",10.0,3.0,13.0
Resultados de la subasta multibanda 5G en Costa Rica,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"5G, Fixed broadband, Pay TV, VoIP","700 MHz, 2.3 GHz, 3.5 GHz, 26 GHz, 28 GHz, Bandas bajas, Bandas medias, mmWave","Disponibilidad de espectro para IMT; tecnologías: 5G, Fixed broadband, Pay TV, VoIP; bandas: 700 MHz, 2.3 GHz, 3.5 GHz, 26 GHz.",10.0,3.0,13.0
Revisión del plan nacional de frecuencias de Panamá,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,Cullen International,"IMT, FWA, 5G, Wi-Fi, Satélites","3600–3800 MHz, 2500–2690 MHz, 3300–3600 MHz, 6 GHz, 3500–3700 MHz, 3700–4200 MHz, 902–928 MHz, 2400–2483.5 MHz, 5250–5350 MHz, 24.05–24.25 GHz, 57–64 GHz, 700 MHz, 850 MHz, 1.5 GHz, AWS, 1900 MHz","Conectividad satelital, NTN y D2D; tecnologías: IMT, FWA, 5G, Wi-Fi; bandas: 3600–3800 MHz, 2500–2690 MHz, 3300–3600 MHz, 6 GHz.",10.0,3.0,13.0
Subasta multibanda de espectro IMT en República Dominicana,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"IMT, 5G, Redes inalámbricas","700 MHz, AWS, 2.3 GHz, 3.5 GHz, 850 MHz, 26 GHz, Bandas bajas, Bandas medias","Disponibilidad de espectro para IMT; tecnologías: IMT, 5G, Redes inalámbricas; bandas: 700 MHz, AWS, 2.3 GHz, 3.5 GHz.",10.0,3.0,13.0
Expansión de conectividad satelital directa a dispositivo en Chile,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,Cullen International,"D2D, NTN, VoLTE, Redes móviles terrestres",,"Conectividad satelital, NTN y D2D; tecnologías: D2D, NTN, VoLTE, Redes móviles terrestres.",9.0,3.0,12.0
Modernización regulatoria para el despliegue de infraestructura de telecomunicaciones en Singapur,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"Banda ancha fija (más de 10 Gbps), Redes móviles, 5G, Cables Ethernet Cat 6, Cables Ethernet Cat 7, Cables Ethernet Cat 8, Fibra oscura",,"Disponibilidad de espectro para IMT; tecnologías: Banda ancha fija (más de 10 Gbps), Redes móviles, 5G, Cables Ethernet Cat 6.",9.0,3.0,12.0
Regulación y licenciamiento de estaciones terrenas fijas para servicios satelitales,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,Cullen International,"Satélites, Estaciones terrenas fijas, Servicios de comunicación satelital, ESIMs (Earth Stations In Motion), NTN",,"Conectividad satelital, NTN y D2D; tecnologías: Satélites, Estaciones terrenas fijas, Servicios de comunicación satelital, ESIMs (Earth Stations In Motion).",9.0,3.0,12.0
Regulación del Servicio Universal y Conectividad en la Unión Europea,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,Cullen International,"Tecnología móvil, Tecnologías inalámbricas, Tecnologías cableadas, Conectividad satelital, Acceso a internet de banda ancha",,"Conectividad satelital, NTN y D2D; tecnologías: Tecnología móvil, Tecnologías inalámbricas, Tecnologías cableadas, Conectividad satelital.",9.0,3.0,12.0
Regulación y uso de jammers de radiofrecuencia en prisiones para seguridad pública,Otros temas de seguimiento,Necesidades transversales,Seguimiento,Alta,1,1,Cullen International,"Radiofrequency jamming, Wireless communication, Cell phones, Drones",,"Otros temas de seguimiento; tecnologías: Radiofrequency jamming, Wireless communication, Cell phones, Drones.",9.0,3.0,12.0
Venta de operaciones de Telefónica en México y estrategia de espectro,Otros temas de seguimiento,Necesidades transversales,Seguimiento,Alta,1,1,Cullen International,"Redes móviles, Operadores móviles (MNO)",,"Otros temas de seguimiento; tecnologías: Redes móviles, Operadores móviles (MNO).",9.0,3.0,12.0
Planes nacionales de banda ancha y conectividad,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,Cullen International,"Banda ancha, 4G, 5G, Fibra óptica, Satélites",,"Conectividad satelital, NTN y D2D; tecnologías: Banda ancha, 4G, 5G, Fibra óptica.",9.0,3.0,12.0
Evolución de los servicios de comunicación móvil hacia 6G y Realidad Extendida,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,GSMA,"VoLTE, ViLTE, IMS, 5G, 6G, RCS, SIP, IP, IA, AR, XR, OTT services, CS-fallback, VoNR, IMS Data Channel, Web technologies",,"Disponibilidad de espectro para IMT; tecnologías: VoLTE, ViLTE, IMS, 5G.",9.0,3.0,12.0
Críticas de estados miembros de la UE a la propuesta DNA sobre espectro y regulación,Otros temas de seguimiento,Necesidades transversales,Seguimiento,Alta,1,1,Cullen International,"Banda ancha inalámbrica, Fibra óptica, Redes de conectividad digital, Edge computing, Cloud computing, Servicios de distribución",,"Otros temas de seguimiento; tecnologías: Banda ancha inalámbrica, Fibra óptica, Redes de conectividad digital, Edge computing.",9.0,3.0,12.0
Decisiones regulatorias de Anatel sobre mercados mayoristas y roaming IoT en Brasil,Otros temas de seguimiento,Necesidades transversales,Seguimiento,Alta,1,1,Cullen International,"IoT, 2G, 3G, Redes de cobre fijas, Fibra óptica, Video-on-demand (VoD), MVNO, Líneas arrendadas, Transporte y transmisión de datos de alta capacidad",,"Otros temas de seguimiento; tecnologías: IoT, 2G, 3G, Redes de cobre fijas.",9.0,3.0,12.0
Armonización de la gestión del espectro en la UE a través de la Ley de Redes Digitales (DNA),"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,Cullen International,"5G, 6G, NTN, Satélites, Wireless broadband, D2D",,"Conectividad satelital, NTN y D2D; tecnologías: 5G, 6G, NTN, Satélites.",9.0,3.0,12.0
Compromiso de operadores coreanos para acceso universal a datos móviles y planes 5G de bajo costo bajo la Ley de Inclusión Digital,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"5G, Wi-Fi, LTE, Intelligent Information Technologies",,"Disponibilidad de espectro para IMT; tecnologías: 5G, Wi-Fi, LTE, Intelligent Information Technologies.",9.0,3.0,12.0
Estrategia de conectividad digital de la UE para 2030,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,Cullen International,"5G, 6G, Wi-Fi, Fibra óptica (FTTP), Satélites, Cable Docsis 3.1, Redes inalámbricas, Redes fijas, VHCN (Very High Capacity Networks)",,"Conectividad satelital, NTN y D2D; tecnologías: 5G, 6G, Wi-Fi, Fibra óptica (FTTP).",9.0,3.0,12.0
Definición y coinversión en Redes de Muy Alta Capacidad (VHCN) en la Unión Europea,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,Cullen International,"Redes de Muy Alta Capacidad (VHCN), 5G, Redes de fibra óptica (FTTB, FTTH), Redes inalámbricas, Redes móviles, Wi-Fi, Redes satelitales, DSL, DOCSIS, Ethernet, Acceso Fijo Inalámbrico (FWA)",,"Conectividad satelital, NTN y D2D; tecnologías: Redes de Muy Alta Capacidad (VHCN), 5G, Redes de fibra óptica (FTTB, FTTH), Redes inalámbricas.",9.0,3.0,12.0
Actualización de la regulación satelital en Argentina,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,Cullen International,"GEO, Satélites (NGSO), Servicios satelitales fijos (FSS), Servicios satelitales móviles (MSS), Servicios satelitales de radiodifusión (BSS), Estaciones terrenas, Estaciones terrenas en movimiento (ESIMs), Ciberseguridad, NTN",,"Conectividad satelital, NTN y D2D; tecnologías: GEO, Satélites (NGSO), Servicios satelitales fijos (FSS), Servicios satelitales móviles (MSS).",9.0,3.0,12.0
Marco regulatorio europeo para servicios de comunicaciones electrónicas,Otros temas de seguimiento,Necesidades transversales,Seguimiento,Alta,1,1,Cullen International,"Banda ancha fija y móvil, Servicios de voz, Servicios de comunicación interpersonal, M2M (Machine-to-Machine), Redes de comunicaciones electrónicas",,"Otros temas de seguimiento; tecnologías: Banda ancha fija y móvil, Servicios de voz, Servicios de comunicación interpersonal, M2M (Machine-to-Machine).",9.0,3.0,12.0
Modificación de tarifas de espectro para servicios satelitales en Perú,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,Cullen International,"Satélites, ESIM, Internet satelital, Redes móviles",,"Conectividad satelital, NTN y D2D; tecnologías: Satélites, ESIM, Internet satelital, Redes móviles.",9.0,3.0,12.0
Planificación y subastas de espectro radioeléctrico en Brasil,"6 GHz, Wi-Fi e IMT",Disponibilidad de espectro,Seguimiento,Alta,1,1,Cullen International,,"6 GHz, 450 MHz","6 GHz, Wi-Fi e IMT; bandas: 6 GHz, 450 MHz.",9.0,3.0,12.0
